title,category,description,price,price_currency,search_text
Герметик силиконовый прозрачный 310мл,Герметик,"Силиконовый герметик прозрачный, незаметен на поверхности, очень эластичный, влагостойкий",659,RUB,"Герметик силиконовый прозрачный 310мл Герметик Силиконовый герметик прозрачный, незаметен на поверхности, очень эластичный, влагостойкий"
Герметик акриловый белый 310мл,Герметик,"Акриловый герметик для внутренних работ, можно красить, очень эластичный, без запаха",737,RUB,"Герметик акриловый белый 310мл Герметик Акриловый герметик для внутренних работ, можно красить, очень эластичный, без запаха"
Герметик санитарный белый 310мл,Герметик,"Санитарный герметик с антигрибковыми свойствами, идеален для ванной и кухни, влагостойкий",532,RUB,"Герметик санитарный белый 310мл Герметик Санитарный герметик с антигрибковыми свойствами, идеален для ванной и кухни, влагостойкий"
Утеплитель минеральная вата 5м²,Утеплитель,"Минеральная вата для утепления стен, очень эффективная теплоизоляция, негорючая, экологичная, толщина 50мм, плотность 35кг/м³",2335,RUB,"Утеплитель минеральная вата 5м² Утеплитель Минеральная вата для утепления стен, очень эффективная теплоизоляция, негорючая, экологичная, толщина 50мм, плотность 35кг/м³"
Утеплитель пенополистирол 1м²,Утеплитель,"Пенополистирол для утепления, очень легкий и эффективный, влагостойкий, толщина 50мм",1356,RUB,"Утеплитель пенополистирол 1м² Утеплитель Пенополистирол для утепления, очень легкий и эффективный, влагостойкий, толщина 50мм"
Утеплитель базальтовая вата 5м²,Утеплитель,"Базальтовая вата для утепления, очень эффективная теплоизоляция, негорючая, экологичная, толщина 100мм",1410,RUB,"Утеплитель базальтовая вата 5м² Утеплитель Базальтовая вата для утепления, очень эффективная теплоизоляция, негорючая, экологичная, толщина 100мм"
Утеплитель фольгированный 5м²,Утеплитель,"Фольгированный утеплитель, отражает тепло, очень эффективный, толщина 10мм, для внутреннего утепления",1456,RUB,"Утеплитель фольгированный 5м² Утеплитель Фольгированный утеплитель, отражает тепло, очень эффективный, толщина 10мм, для внутреннего утепления"
Плитка керамическая белая 1м²,Плитка,"Керамическая плитка белого цвета, очень прочная и влагостойкая, легко моется, размер 30x30см, для стен и пола",3471,RUB,"Плитка керамическая белая 1м² Плитка Керамическая плитка белого цвета, очень прочная и влагостойкая, легко моется, размер 30x30см, для стен и пола"
Плитка керамическая серая 1м²,Плитка,"Керамическая плитка серого цвета, очень прочная, влагостойкая, легко моется, размер 30x30см, для стен и пола",2042,RUB,"Плитка керамическая серая 1м² Плитка Керамическая плитка серого цвета, очень прочная, влагостойкая, легко моется, размер 30x30см, для стен и пола"
Плитка керамическая для ванной 1м²,Плитка,"Керамическая плитка специально для ванной, очень влагостойкая, легко моется, размер 20x30см, для стен",2858,RUB,"Плитка керамическая для ванной 1м² Плитка Керамическая плитка специально для ванной, очень влагостойкая, легко моется, размер 20x30см, для стен"
Плитка керамическая для кухни 1м²,Плитка,"Керамическая плитка для кухни, очень прочная, влагостойкая, легко моется, размер 30x30см, для фартука",1829,RUB,"Плитка керамическая для кухни 1м² Плитка Керамическая плитка для кухни, очень прочная, влагостойкая, легко моется, размер 30x30см, для фартука"
Плитка керамогранит серая 1м²,Плитка,"Керамогранит очень прочный, идеален для пола, влагостойкий, размер 60x60см, для высоких нагрузок",2264,RUB,"Плитка керамогранит серая 1м² Плитка Керамогранит очень прочный, идеален для пола, влагостойкий, размер 60x60см, для высоких нагрузок"
Карниз для штор круглый 2м,Карнизы,"Круглый карниз для штор длиной 2 метра, металлический, белый, для легких и средних штор",890,RUB,"Карниз для штор круглый 2м Карнизы Круглый карниз для штор длиной 2 метра, металлический, белый, для легких и средних штор"
Карниз для штор круглый 2.5м,Карнизы,"Круглый карниз для штор длиной 2.5 метра, металлический, белый, для легких и средних штор",1050,RUB,"Карниз для штор круглый 2.5м Карнизы Круглый карниз для штор длиной 2.5 метра, металлический, белый, для легких и средних штор"
Карниз для штор круглый 3м,Карнизы,"Круглый карниз для штор длиной 3 метра, металлический, белый, для легких и средних штор",1250,RUB,"Карниз для штор круглый 3м Карнизы Круглый карниз для штор длиной 3 метра, металлический, белый, для легких и средних штор"
Карниз для штор круглый 3.5м,Карнизы,"Круглый карниз для штор длиной 3.5 метра, металлический, белый, для легких и средних штор",1450,RUB,"Карниз для штор круглый 3.5м Карнизы Круглый карниз для штор длиной 3.5 метра, металлический, белый, для легких и средних штор"
Карниз для штор круглый 4м,Карнизы,"Круглый карниз для штор длиной 4 метра, металлический, белый, для легких и средних штор",1650,RUB,"Карниз для штор круглый 4м Карнизы Круглый карниз для штор длиной 4 метра, металлический, белый, для легких и средних штор"
Карниз для штор багетный 2м,Карнизы,"Багетный карниз для штор длиной 2 метра, с декоративной планкой, белый, для тяжелых штор",1450,RUB,"Карниз для штор багетный 2м Карнизы Багетный карниз для штор длиной 2 метра, с декоративной планкой, белый, для тяжелых штор"
Карниз для штор багетный 2.5м,Карнизы,"Багетный карниз для штор длиной 2.5 метра, с декоративной планкой, белый, для тяжелых штор",1650,RUB,"Карниз для штор багетный 2.5м Карнизы Багетный карниз для штор длиной 2.5 метра, с декоративной планкой, белый, для тяжелых штор"
Карниз для штор багетный 3м,Карнизы,"Багетный карниз для штор длиной 3 метра, с декоративной планкой, белый, для тяжелых штор",1850,RUB,"Карниз для штор багетный 3м Карнизы Багетный карниз для штор длиной 3 метра, с декоративной планкой, белый, для тяжелых штор"
Карниз для штор багетный 3.5м,Карнизы,"Багетный карниз для штор длиной 3.5 метра, с декоративной планкой, белый, для тяжелых штор",2050,RUB,"Карниз для штор багетный 3.5м Карнизы Багетный карниз для штор длиной 3.5 метра, с декоративной планкой, белый, для тяжелых штор"
Карниз для штор струнный 2м,Карнизы,"Струнный карниз для штор длиной 2 метра, минималистичный дизайн, для легких штор",650,RUB,"Карниз для штор струнный 2м Карнизы Струнный карниз для штор длиной 2 метра, минималистичный дизайн, для легких штор"
Карниз для штор струнный 3м,Карнизы,"Струнный карниз для штор длиной 3 метра, минималистичный дизайн, для легких штор",850,RUB,"Карниз для штор струнный 3м Карнизы Струнный карниз для штор длиной 3 метра, минималистичный дизайн, для легких штор"
Карниз для штор струнный 4м,Карнизы,"Струнный карниз для штор длиной 4 метра, минималистичный дизайн, для легких штор",1050,RUB,"Карниз для штор струнный 4м Карнизы Струнный карниз для штор длиной 4 метра, минималистичный дизайн, для легких штор"
Шуруп по дереву 3.5x35мм 100шт,Шурупы,"Шуруп по дереву диаметром 3.5мм длиной 35мм, упаковка 100 штук, оцинкованный, для крепления к дереву",145,RUB,"Шуруп по дереву 3.5x35мм 100шт Шурупы Шуруп по дереву диаметром 3.5мм длиной 35мм, упаковка 100 штук, оцинкованный, для крепления к дереву"
Шуруп по дереву 3.5x40мм 100шт,Шурупы,"Шуруп по дереву диаметром 3.5мм длиной 40мм, упаковка 100 штук, оцинкованный, для крепления к дереву",155,RUB,"Шуруп по дереву 3.5x40мм 100шт Шурупы Шуруп по дереву диаметром 3.5мм длиной 40мм, упаковка 100 штук, оцинкованный, для крепления к дереву"
Шуруп по дереву 4x50мм 100шт,Шурупы,"Шуруп по дереву диаметром 4мм длиной 50мм, упаковка 100 штук, оцинкованный, для крепления к дереву",175,RUB,"Шуруп по дереву 4x50мм 100шт Шурупы Шуруп по дереву диаметром 4мм длиной 50мм, упаковка 100 штук, оцинкованный, для крепления к дереву"
Шуруп по дереву 4.5x60мм 100шт,Шурупы,"Шуруп по дереву диаметром 4.5мм длиной 60мм, упаковка 100 штук, оцинкованный, для крепления к дереву",195,RUB,"Шуруп по дереву 4.5x60мм 100шт Шурупы Шуруп по дереву диаметром 4.5мм длиной 60мм, упаковка 100 штук, оцинкованный, для крепления к дереву"
Шуруп по дереву 5x70мм 100шт,Шурупы,"Шуруп по дереву диаметром 5мм длиной 70мм, упаковка 100 штук, оцинкованный, для крепления к дереву",225,RUB,"Шуруп по дереву 5x70мм 100шт Шурупы Шуруп по дереву диаметром 5мм длиной 70мм, упаковка 100 штук, оцинкованный, для крепления к дереву"
Шуруп по дереву 6x80мм 100шт,Шурупы,"Шуруп по дереву диаметром 6мм длиной 80мм, упаковка 100 штук, оцинкованный, для крепления к дереву",255,RUB,"Шуруп по дереву 6x80мм 100шт Шурупы Шуруп по дереву диаметром 6мм длиной 80мм, упаковка 100 штук, оцинкованный, для крепления к дереву"
Шуруп саморез по металлу 3.5x16мм 100шт,Шурупы,"Саморез по металлу диаметром 3.5мм длиной 16мм, упаковка 100 штук, оцинкованный, для крепления к металлу",165,RUB,"Шуруп саморез по металлу 3.5x16мм 100шт Шурупы Саморез по металлу диаметром 3.5мм длиной 16мм, упаковка 100 штук, оцинкованный, для крепления к металлу"
Шуруп саморез по металлу 3.5x19мм 100шт,Шурупы,"Саморез по металлу диаметром 3.5мм длиной 19мм, упаковка 100 штук, оцинкованный, для крепления к металлу",175,RUB,"Шуруп саморез по металлу 3.5x19мм 100шт Шурупы Саморез по металлу диаметром 3.5мм длиной 19мм, упаковка 100 штук, оцинкованный, для крепления к металлу"
Шуруп саморез по металлу 4.2x25мм 100шт,Шурупы,"Саморез по металлу диаметром 4.2мм длиной 25мм, упаковка 100 штук, оцинкованный, для крепления к металлу",195,RUB,"Шуруп саморез по металлу 4.2x25мм 100шт Шурупы Саморез по металлу диаметром 4.2мм длиной 25мм, упаковка 100 штук, оцинкованный, для крепления к металлу"
Шуруп саморез по металлу 4.2x35мм 100шт,Шурупы,"Саморез по металлу диаметром 4.2мм длиной 35мм, упаковка 100 штук, оцинкованный, для крепления к металлу",215,RUB,"Шуруп саморез по металлу 4.2x35мм 100шт Шурупы Саморез по металлу диаметром 4.2мм длиной 35мм, упаковка 100 штук, оцинкованный, для крепления к металлу"
Шуруп саморез по металлу 4.2x45мм 100шт,Шурупы,"Саморез по металлу диаметром 4.2мм длиной 45мм, упаковка 100 штук, оцинкованный, для крепления к металлу",235,RUB,"Шуруп саморез по металлу 4.2x45мм 100шт Шурупы Саморез по металлу диаметром 4.2мм длиной 45мм, упаковка 100 штук, оцинкованный, для крепления к металлу"
Шуруп саморез по гипсокартону 3.5x25мм 100шт,Шурупы,"Саморез по гипсокартону диаметром 3.5мм длиной 25мм, упаковка 100 штук, черный фосфатированный, для крепления гипсокартона",125,RUB,"Шуруп саморез по гипсокартону 3.5x25мм 100шт Шурупы Саморез по гипсокартону диаметром 3.5мм длиной 25мм, упаковка 100 штук, черный фосфатированный, для крепления гипсокартона"
Шуруп саморез по гипсокартону 3.5x35мм 100шт,Шурупы,"Саморез по гипсокартону диаметром 3.5мм длиной 35мм, упаковка 100 штук, черный фосфатированный, для крепления гипсокартона",145,RUB,"Шуруп саморез по гипсокартону 3.5x35мм 100шт Шурупы Саморез по гипсокартону диаметром 3.5мм длиной 35мм, упаковка 100 штук, черный фосфатированный, для крепления гипсокартона"
Шуруп саморез по гипсокартону 3.5x45мм 100шт,Шурупы,"Саморез по гипсокартону диаметром 3.5мм длиной 45мм, упаковка 100 штук, черный фосфатированный, для крепления гипсокартона",165,RUB,"Шуруп саморез по гипсокартону 3.5x45мм 100шт Шурупы Саморез по гипсокартону диаметром 3.5мм длиной 45мм, упаковка 100 штук, черный фосфатированный, для крепления гипсокартона"
Шуруп саморез по гипсокартону 3.5x55мм 100шт,Шурупы,"Саморез по гипсокартону диаметром 3.5мм длиной 55мм, упаковка 100 штук, черный фосфатированный, для крепления гипсокартона",185,RUB,"Шуруп саморез по гипсокартону 3.5x55мм 100шт Шурупы Саморез по гипсокартону диаметром 3.5мм длиной 55мм, упаковка 100 штук, черный фосфатированный, для крепления гипсокартона"
Дюбель распорный 6x40мм 50шт,Дюбели,"Распорный дюбель диаметром 6мм длиной 40мм, упаковка 50 штук, для крепления к бетону и кирпичу",145,RUB,"Дюбель распорный 6x40мм 50шт Дюбели Распорный дюбель диаметром 6мм длиной 40мм, упаковка 50 штук, для крепления к бетону и кирпичу"
Дюбель распорный 6x50мм 50шт,Дюбели,"Распорный дюбель диаметром 6мм длиной 50мм, упаковка 50 штук, для крепления к бетону и кирпичу",155,RUB,"Дюбель распорный 6x50мм 50шт Дюбели Распорный дюбель диаметром 6мм длиной 50мм, упаковка 50 штук, для крепления к бетону и кирпичу"
Дюбель распорный 8x50мм 50шт,Дюбели,"Распорный дюбель диаметром 8мм длиной 50мм, упаковка 50 штук, для крепления к бетону и кирпичу",175,RUB,"Дюбель распорный 8x50мм 50шт Дюбели Распорный дюбель диаметром 8мм длиной 50мм, упаковка 50 штук, для крепления к бетону и кирпичу"
Дюбель распорный 8x80мм 50шт,Дюбели,"Распорный дюбель диаметром 8мм длиной 80мм, упаковка 50 штук, для крепления к бетону и кирпичу",195,RUB,"Дюбель распорный 8x80мм 50шт Дюбели Распорный дюбель диаметром 8мм длиной 80мм, упаковка 50 штук, для крепления к бетону и кирпичу"
Дюбель распорный 10x80мм 50шт,Дюбели,"Распорный дюбель диаметром 10мм длиной 80мм, упаковка 50 штук, для крепления к бетону и кирпичу",225,RUB,"Дюбель распорный 10x80мм 50шт Дюбели Распорный дюбель диаметром 10мм длиной 80мм, упаковка 50 штук, для крепления к бетону и кирпичу"
Дюбель распорный 10x100мм 50шт,Дюбели,"Распорный дюбель диаметром 10мм длиной 100мм, упаковка 50 штук, для крепления к бетону и кирпичу",245,RUB,"Дюбель распорный 10x100мм 50шт Дюбели Распорный дюбель диаметром 10мм длиной 100мм, упаковка 50 штук, для крепления к бетону и кирпичу"
Дюбель для гипсокартона 4x30мм 100шт,Дюбели,"Дюбель для гипсокартона диаметром 4мм длиной 30мм, упаковка 100 штук, бабочка, для крепления к гипсокартону",185,RUB,"Дюбель для гипсокартона 4x30мм 100шт Дюбели Дюбель для гипсокартона диаметром 4мм длиной 30мм, упаковка 100 штук, бабочка, для крепления к гипсокартону"
Дюбель для гипсокартона 4x40мм 100шт,Дюбели,"Дюбель для гипсокартона диаметром 4мм длиной 40мм, упаковка 100 штук, бабочка, для крепления к гипсокартону",195,RUB,"Дюбель для гипсокартона 4x40мм 100шт Дюбели Дюбель для гипсокартона диаметром 4мм длиной 40мм, упаковка 100 штук, бабочка, для крепления к гипсокартону"
Дюбель для дерева 6x50мм 50шт,Дюбели,"Дюбель для дерева диаметром 6мм длиной 50мм, упаковка 50 штук, для крепления к дереву",165,RUB,"Дюбель для дерева 6x50мм 50шт Дюбели Дюбель для дерева диаметром 6мм длиной 50мм, упаковка 50 штук, для крепления к дереву"
Дюбель для дерева 8x60мм 50шт,Дюбели,"Дюбель для дерева диаметром 8мм длиной 60мм, упаковка 50 штук, для крепления к дереву",185,RUB,"Дюбель для дерева 8x60мм 50шт Дюбели Дюбель для дерева диаметром 8мм длиной 60мм, упаковка 50 штук, для крепления к дереву"
Молоток слесарный 300г,Ручной инструмент,"Слесарный молоток весом 300г, для слесарных работ, прочная рукоятка, удобный",345,RUB,"Молоток слесарный 300г Ручной инструмент Слесарный молоток весом 300г, для слесарных работ, прочная рукоятка, удобный"
Молоток слесарный 400г,Ручной инструмент,"Слесарный молоток весом 400г, для слесарных работ, прочная рукоятка, удобный",385,RUB,"Молоток слесарный 400г Ручной инструмент Слесарный молоток весом 400г, для слесарных работ, прочная рукоятка, удобный"
Молоток слесарный 600г,Ручной инструмент,"Слесарный молоток весом 600г, для слесарных работ, прочная рукоятка, удобный",425,RUB,"Молоток слесарный 600г Ручной инструмент Слесарный молоток весом 600г, для слесарных работ, прочная рукоятка, удобный"
Молоток слесарный 800г,Ручной инструмент,"Слесарный молоток весом 800г, для слесарных работ, прочная рукоятка, удобный",465,RUB,"Молоток слесарный 800г Ручной инструмент Слесарный молоток весом 800г, для слесарных работ, прочная рукоятка, удобный"
Молоток резиновый 200г,Ручной инструмент,"Резиновый молоток весом 200г, для деликатных работ, не оставляет следов, для плитки и ламината",285,RUB,"Молоток резиновый 200г Ручной инструмент Резиновый молоток весом 200г, для деликатных работ, не оставляет следов, для плитки и ламината"
Молоток резиновый 400г,Ручной инструмент,"Резиновый молоток весом 400г, для деликатных работ, не оставляет следов, для плитки и ламината",325,RUB,"Молоток резиновый 400г Ручной инструмент Резиновый молоток весом 400г, для деликатных работ, не оставляет следов, для плитки и ламината"
Молоток резиновый 500г,Ручной инструмент,"Резиновый молоток весом 500г, для деликатных работ, не оставляет следов, для плитки и ламината",365,RUB,"Молоток резиновый 500г Ручной инструмент Резиновый молоток весом 500г, для деликатных работ, не оставляет следов, для плитки и ламината"
Молоток киянка деревянная 300г,Ручной инструмент,"Киянка деревянная весом 300г, для столярных работ, не повреждает поверхность",245,RUB,"Молоток киянка деревянная 300г Ручной инструмент Киянка деревянная весом 300г, для столярных работ, не повреждает поверхность"
Молоток киянка деревянная 500г,Ручной инструмент,"Киянка деревянная весом 500г, для столярных работ, не повреждает поверхность",285,RUB,"Молоток киянка деревянная 500г Ручной инструмент Киянка деревянная весом 500г, для столярных работ, не повреждает поверхность"
Сверло по бетону 6мм,Сверла,"Сверло по бетону диаметром 6мм, с победитовым наконечником, для перфоратора и ударной дрели",185,RUB,"Сверло по бетону 6мм Сверла Сверло по бетону диаметром 6мм, с победитовым наконечником, для перфоратора и ударной дрели"
Сверло по бетону 8мм,Сверла,"Сверло по бетону диаметром 8мм, с победитовым наконечником, для перфоратора и ударной дрели",195,RUB,"Сверло по бетону 8мм Сверла Сверло по бетону диаметром 8мм, с победитовым наконечником, для перфоратора и ударной дрели"
Сверло по бетону 10мм,Сверла,"Сверло по бетону диаметром 10мм, с победитовым наконечником, для перфоратора и ударной дрели",205,RUB,"Сверло по бетону 10мм Сверла Сверло по бетону диаметром 10мм, с победитовым наконечником, для перфоратора и ударной дрели"
Сверло по бетону 12мм,Сверла,"Сверло по бетону диаметром 12мм, с победитовым наконечником, для перфоратора и ударной дрели",225,RUB,"Сверло по бетону 12мм Сверла Сверло по бетону диаметром 12мм, с победитовым наконечником, для перфоратора и ударной дрели"
Сверло по дереву 6мм,Сверла,"Сверло по дереву диаметром 6мм, спиральное, для дрели, быстрое сверление",95,RUB,"Сверло по дереву 6мм Сверла Сверло по дереву диаметром 6мм, спиральное, для дрели, быстрое сверление"
Сверло по дереву 8мм,Сверла,"Сверло по дереву диаметром 8мм, спиральное, для дрели, быстрое сверление",105,RUB,"Сверло по дереву 8мм Сверла Сверло по дереву диаметром 8мм, спиральное, для дрели, быстрое сверление"
Сверло по дереву 10мм,Сверла,"Сверло по дереву диаметром 10мм, спиральное, для дрели, быстрое сверление",115,RUB,"Сверло по дереву 10мм Сверла Сверло по дереву диаметром 10мм, спиральное, для дрели, быстрое сверление"
Сверло по металлу 3мм,Сверла,"Сверло по металлу диаметром 3мм, из быстрорежущей стали, для дрели",75,RUB,"Сверло по металлу 3мм Сверла Сверло по металлу диаметром 3мм, из быстрорежущей стали, для дрели"
Сверло по металлу 5мм,Сверла,"Сверло по металлу диаметром 5мм, из быстрорежущей стали, для дрели",85,RUB,"Сверло по металлу 5мм Сверла Сверло по металлу диаметром 5мм, из быстрорежущей стали, для дрели"
Сверло по металлу 8мм,Сверла,"Сверло по металлу диаметром 8мм, из быстрорежущей стали, для дрели",95,RUB,"Сверло по металлу 8мм Сверла Сверло по металлу диаметром 8мм, из быстрорежущей стали, для дрели"
Сверло по металлу 10мм,Сверла,"Сверло по металлу диаметром 10мм, из быстрорежущей стали, для дрели",105,RUB,"Сверло по металлу 10мм Сверла Сверло по металлу диаметром 10мм, из быстрорежущей стали, для дрели"
Отвертка плоская 4мм,Отвертки,"Отвертка плоская шириной 4мм, для шурупов с плоским шлицем, прочная рукоятка",125,RUB,"Отвертка плоская 4мм Отвертки Отвертка плоская шириной 4мм, для шурупов с плоским шлицем, прочная рукоятка"
Отвертка плоская 5мм,Отвертки,"Отвертка плоская шириной 5мм, для шурупов с плоским шлицем, прочная рукоятка",135,RUB,"Отвертка плоская 5мм Отвертки Отвертка плоская шириной 5мм, для шурупов с плоским шлицем, прочная рукоятка"
Отвертка плоская 6мм,Отвертки,"Отвертка плоская шириной 6мм, для шурупов с плоским шлицем, прочная рукоятка",145,RUB,"Отвертка плоская 6мм Отвертки Отвертка плоская шириной 6мм, для шурупов с плоским шлицем, прочная рукоятка"
Отвертка крестовая PH1,Отвертки,"Отвертка крестовая PH1, для шурупов с крестообразным шлицем, прочная рукоятка",125,RUB,"Отвертка крестовая PH1 Отвертки Отвертка крестовая PH1, для шурупов с крестообразным шлицем, прочная рукоятка"
Отвертка крестовая PH2,Отвертки,"Отвертка крестовая PH2, для шурупов с крестообразным шлицем, прочная рукоятка",135,RUB,"Отвертка крестовая PH2 Отвертки Отвертка крестовая PH2, для шурупов с крестообразным шлицем, прочная рукоятка"
Отвертка крестовая PH3,Отвертки,"Отвертка крестовая PH3, для шурупов с крестообразным шлицем, прочная рукоятка",145,RUB,"Отвертка крестовая PH3 Отвертки Отвертка крестовая PH3, для шурупов с крестообразным шлицем, прочная рукоятка"
Отвертка набор 6 предметов,Отвертки,"Набор отверток 6 предметов, плоские и крестовые разных размеров, удобный кейс",450,RUB,"Отвертка набор 6 предметов Отвертки Набор отверток 6 предметов, плоские и крестовые разных размеров, удобный кейс"
Отвертка набор 10 предметов,Отвертки,"Набор отверток 10 предметов, плоские и крестовые разных размеров, удобный кейс",650,RUB,"Отвертка набор 10 предметов Отвертки Набор отверток 10 предметов, плоские и крестовые разных размеров, удобный кейс"
Шпатель малярный 10см,Шпатели,"Малярный шпатель шириной 10см, для нанесения шпаклевки и клея, нержавеющая сталь",185,RUB,"Шпатель малярный 10см Шпатели Малярный шпатель шириной 10см, для нанесения шпаклевки и клея, нержавеющая сталь"
Шпатель малярный 15см,Шпатели,"Малярный шпатель шириной 15см, для нанесения шпаклевки и клея, нержавеющая сталь",225,RUB,"Шпатель малярный 15см Шпатели Малярный шпатель шириной 15см, для нанесения шпаклевки и клея, нержавеющая сталь"
Шпатель малярный 20см,Шпатели,"Малярный шпатель шириной 20см, для нанесения шпаклевки и клея, нержавеющая сталь",265,RUB,"Шпатель малярный 20см Шпатели Малярный шпатель шириной 20см, для нанесения шпаклевки и клея, нержавеющая сталь"
Шпатель малярный 25см,Шпатели,"Малярный шпатель шириной 25см, для нанесения шпаклевки и клея, нержавеющая сталь",305,RUB,"Шпатель малярный 25см Шпатели Малярный шпатель шириной 25см, для нанесения шпаклевки и клея, нержавеющая сталь"
Шпатель для обоев 15см,Шпатели,"Шпатель для обоев шириной 15см, для разглаживания обоев и удаления пузырьков, пластиковый",145,RUB,"Шпатель для обоев 15см Шпатели Шпатель для обоев шириной 15см, для разглаживания обоев и удаления пузырьков, пластиковый"
Шпатель для обоев 20см,Шпатели,"Шпатель для обоев шириной 20см, для разглаживания обоев и удаления пузырьков, пластиковый",165,RUB,"Шпатель для обоев 20см Шпатели Шпатель для обоев шириной 20см, для разглаживания обоев и удаления пузырьков, пластиковый"
Шпатель угловой 90 градусов,Шпатели,"Угловой шпатель 90 градусов, для работы в углах, нанесения шпаклевки в углах",195,RUB,"Шпатель угловой 90 градусов Шпатели Угловой шпатель 90 градусов, для работы в углах, нанесения шпаклевки в углах"
Шпатель резиновый 10см,Шпатели,"Резиновый шпатель шириной 10см, для деликатных работ, не оставляет царапин",125,RUB,"Шпатель резиновый 10см Шпатели Резиновый шпатель шириной 10см, для деликатных работ, не оставляет царапин"
Нож для обоев со сменными лезвиями,Ножи для обоев,"Нож для обоев со сменными лезвиями, очень острый, для аккуратной обрезки обоев",185,RUB,"Нож для обоев со сменными лезвиями Ножи для обоев Нож для обоев со сменными лезвиями, очень острый, для аккуратной обрезки обоев"
Нож для обоев универсальный,Ножи для обоев,"Универсальный нож для обоев, с фиксированным лезвием, для обрезки обоев",125,RUB,"Нож для обоев универсальный Ножи для обоев Универсальный нож для обоев, с фиксированным лезвием, для обрезки обоев"
Нож для обоев складной,Ножи для обоев,"Складной нож для обоев, безопасный, удобный для переноски",145,RUB,"Нож для обоев складной Ножи для обоев Складной нож для обоев, безопасный, удобный для переноски"
Нож для обоев с роликом,Ножи для обоев,"Нож для обоев с роликовым лезвием, для быстрой обрезки, очень удобный",225,RUB,"Нож для обоев с роликом Ножи для обоев Нож для обоев с роликовым лезвием, для быстрой обрезки, очень удобный"
Уровень строительный 40см,Уровни,"Строительный уровень длиной 40см, для проверки горизонтальности и вертикальности",485,RUB,"Уровень строительный 40см Уровни Строительный уровень длиной 40см, для проверки горизонтальности и вертикальности"
Уровень строительный 60см,Уровни,"Строительный уровень длиной 60см, для проверки горизонтальности и вертикальности",685,RUB,"Уровень строительный 60см Уровни Строительный уровень длиной 60см, для проверки горизонтальности и вертикальности"
Уровень строительный 80см,Уровни,"Строительный уровень длиной 80см, для проверки горизонтальности и вертикальности",885,RUB,"Уровень строительный 80см Уровни Строительный уровень длиной 80см, для проверки горизонтальности и вертикальности"
Уровень строительный 100см,Уровни,"Строительный уровень длиной 100см, для проверки горизонтальности и вертикальности",1085,RUB,"Уровень строительный 100см Уровни Строительный уровень длиной 100см, для проверки горизонтальности и вертикальности"
Уровень строительный 120см,Уровни,"Строительный уровень длиной 120см, для проверки горизонтальности и вертикальности",1285,RUB,"Уровень строительный 120см Уровни Строительный уровень длиной 120см, для проверки горизонтальности и вертикальности"
Уровень лазерный,Уровни,"Лазерный уровень, для точной разметки, проецирует горизонтальную и вертикальную линии",3450,RUB,"Уровень лазерный Уровни Лазерный уровень, для точной разметки, проецирует горизонтальную и вертикальную линии"
Рулетка измерительная 3м,Рулетки,"Измерительная рулетка длиной 3 метра, металлическая лента, удобный корпус",185,RUB,"Рулетка измерительная 3м Рулетки Измерительная рулетка длиной 3 метра, металлическая лента, удобный корпус"
Рулетка измерительная 5м,Рулетки,"Измерительная рулетка длиной 5 метров, металлическая лента, удобный корпус",225,RUB,"Рулетка измерительная 5м Рулетки Измерительная рулетка длиной 5 метров, металлическая лента, удобный корпус"
Рулетка измерительная 7.5м,Рулетки,"Измерительная рулетка длиной 7.5 метров, металлическая лента, удобный корпус",265,RUB,"Рулетка измерительная 7.5м Рулетки Измерительная рулетка длиной 7.5 метров, металлическая лента, удобный корпус"
